Gruppen-ID,Name der Gruppe,Alias der Gruppe,Registrierte E-Mail-Adresse der Gruppe,Beschreibung,E-Mail-Aliase der Gruppe,Von lokal synchronisiert,Gruppentyp,Dynamische Mitgliedschaft,IsYammerGroup,Datenschutz der Gruppe,Domäne der Gruppe,Hat Teams,Erstellt am,Zuweisbar an Rollen
f58bb698-a5c6-4a0c-b42b-3fb0e882fa4d,Anja ToDos,AnjaToDos,AnjaToDos@koawach.onmicrosoft.com,Anja ToDos,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,False,2020-04-02 11:41:20Z,False
c5d93920-032b-48d8-9e10-4f08aee6be0a,Anshika,Anshika,Anshika@koawach.onmicrosoft.com,Anshika,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,False,2021-12-16 10:40:58Z,False
f338fea9-051c-41cc-be0b-3a0a5ce0342f,AnshikaxLiesa,AnshikaxLiesa,AnshikaxLiesa@koawach.onmicrosoft.com,AnshikaxLiesa,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,False,2021-07-29 11:28:59Z,False
f311776f-9636-4c57-a1d0-6cceafc7ea30,BI-Omar,BI-Omar,BI-Omar@koawach.onmicrosoft.com,BI-Omar,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,True,2021-09-27 11:08:02Z,False
fe05d114-4a60-4059-b65a-8cc3a2897d52,Briefing Emanuel,BriefingEmanuel,BriefingEmanuel@koawach.onmicrosoft.com,Briefing Emanuel,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,False,2022-03-07 11:33:38Z,False
8e3517be-08e7-49e6-9414-187a16b62a8b,climate partner,climatepartner,climatepartner@koawach.onmicrosoft.com,koawach goes klimaneutral,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,False,2021-05-11 09:30:08Z,False
1515f56e-73eb-4a52-89d8-793f86e1a488,climate partner - koawach goes klimaneutral,climatepartners-koawachgoesklimaneutral,climatepartners-koawachgoesklimaneutral@koawach.onmicrosoft.com,climate partners - koawach goes klimaneutral,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,True,2021-05-11 09:30:44Z,False
521b440d-7c2c-4611-a2bf-48ebc3576835,climate partners - koawach goes klimaneutrall,climatepartners-koawachgoesklimaneutrall,climatepartners-koawachgoesklimaneutrall@koawach.onmicrosoft.com, ,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,False,2021-05-11 09:26:40Z,False
9985b072-1d4c-46a8-9758-db8de662a7d1,Content - Kreation,Content-Kreation,Content-Kreation@koawach.onmicrosoft.com,Content - Kreation,,False,Microsoft 365,False,False,Public,koawach.onmicrosoft.com,True,2020-05-06 11:09:03Z,False
97ef25b9-bf96-4ea3-ad96-bd69ad1c6be6,Content Roadmap,ContentRoadmap,ContentRoadmap@koawach.onmicrosoft.com,Content Roadmap,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,False,2020-05-19 15:18:18Z,False
967bcb20-cccd-4638-83ef-468e6ace30c2,Corona-Krise-kommunikation,Corona-Krise-kommunikation,Corona-Krise-kommunikation@koawach.onmicrosoft.com,Corona-Krise-kommunikation,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,True,2020-03-24 07:25:53Z,False
0b6e74d0-872d-4127-b915-2afad8009287,CRM-Tool,CRM-Tool,CRM-Tool@koawach.onmicrosoft.com,CRM-Tool,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,True,2020-10-22 13:58:42Z,False
6f6ca988-f8e0-4a58-a4c6-b6d2b7b66b38,Crowdinvesting,Crowdinvesting637,Crowdinvesting637@koawach.onmicrosoft.com,Crowdinvesting,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,True,2020-03-19 16:39:08Z,False
aa998212-783c-41eb-9770-b7d8a28f1275,Crowdinvesting,Crowdinvesting,Crowdinvesting@koawach.onmicrosoft.com,Crowdinvesting,,False,Microsoft 365,False,False,Public,koawach.onmicrosoft.com,False,2020-03-12 10:01:47Z,False
5e202af9-8d55-475b-a9aa-7919f3bacdcf,CSS,CCS,CCS@koawach.onmicrosoft.com,Customer Support and Sales,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,True,2020-08-13 13:04:01Z,False
17278e34-53c6-45c1-946e-9cc3ea3dd7cd,CSS-KAM,KAM-ID,KAM-ID@koawach.onmicrosoft.com,KAM-ID,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,True,2020-05-06 12:31:34Z,False
610be74e-ad84-4bae-a9c9-80394d371dca,CSS-ON,ON-CSS,ON-CSS@koawach.onmicrosoft.com, ,,False,Microsoft 365,False,False,Private,koawach.onmicrosoft.com,True,2020-08-28 12:41:22Z,False
